46	200856.18493438582	[1.88801537, 2.60794855, 3.91565926]	[224.32227337, 126.33528173, 68.14127754]	[210.91992361, 226.55080458, 235.36397861]	[200.84044687, 2.79752292, 58.97018438]	[98.29712359, 63.96248258, 50.78593718]
47	178215.05412029487	[215.02542825, 118.61677506, 66.46555617]	[4.62117038, 4.27593138, 5.68042222]	[207.25382078, 1.40929158, 61.59455198]	[239.7021284, 240.11286036, 240.28331107]	[241.4563329, 169.16822457, 59.06608591]
48	215576.2463330831	[3.55320186, 3.90976027, 6.00454406]	[101.04645706, 45.78488666, 136.31768942]	[216.58245729, 160.26904809, 116.05438376]	[222.67753993, 5.44185697, 61.38002273]	[208.66317887, 208.02289693, 203.60814004]
49	212300.10467238672	[201.50928798, 162.39326791, 199.58538091]	[0.79369048, 1.21090029, 1.8676419]	[137.19316587, 119.92187623, 134.3158339]	[199.21064525, 190.80582257, 189.76711585]	[63.36924397, 59.01827131, 71.52047623]
50	215765.29708341914	[2.27663405, 3.0329537, 4.118114]	[127.59427823, 86.10546294, 17.73038986]	[143.87153323, 147.95607498, 121.56140596]	[185.8723639, 191.15744357, 156.87792486]	[220.51078629, 105.12460284, 123.22513781]
51	203994.2044914636	[104.14427652, 68.33136615, 5.80717689]	[3.39337112, 4.12682895, 5.18216753]	[165.6203373, 169.75451763, 140.45164071]	[133.88307787, 90.91118212, 20.94451848]	[229.61369055, 108.40077206, 126.74173125]
52	192672.04351300787	[2.99402559, 4.21036068, 6.07559056]	[253.55268735, 241.48705064, 195.01655906]	[205.46922478, 101.47064162, 13.77464648]	[245.04806433, 187.11139606, 0.51140833]	[154.40153131, 116.59097094, 107.71618634]
53	211541.0307016469	[0.90499877, 1.31047316, 1.80721662]	[239.54613432, 230.56985115, 141.7496522]	[80.63354324, 82.33098226, 58.00902005]	[199.87472211, 188.37779685, 121.95129803]	[201.95278714, 52.24894179, 79.79568942]
54	174809.34273593745	[2.34812294, 3.43888693, 4.92605402]	[245.324726, 187.223102, 0.134651159]	[250.45385912, 236.73940453, 169.15964045]	[113.92979682, 96.43515838, 41.75332715]	[251.9025336, 251.99035678, 252.07341524]
55	211191.91138941236	[102.84713833, 147.76718248, 200.36188543]	[1.40550568, 2.14135647, 3.24753467]	[235.0689216, 227.83282392, 161.72601667]	[224.65779318, 224.34237883, 225.49034574]	[67.74811176, 77.2646668, 94.10817382]
56	197680.63833365354	[237.02193319, 208.06385799, 177.21615413]	[0.0, 0.0, 0.0]	[164.81886579, 98.34946234, 30.90699016]	[101.54131615, 84.2009701, 68.07721627]	[16.52519004, 20.90248829, 26.53321645]
57	201046.20890000492	[1.5717692, 2.25898976, 3.28544406]	[168.60274394, 101.20119428, 33.71522504]	[234.51558918, 206.30233669, 176.2728998]	[79.55851341, 73.61314709, 68.55649294]	[125.65690077, 73.38120961, 14.64069909]
58	199024.53589840015	[215.88811379, 77.80677591, 2.8472545]	[246.42128534, 235.25600877, 188.80783534]	[4.48949384, 5.56409711, 7.66504828]	[170.34772332, 128.16413925, 124.73720634]	[131.35868868, 49.30485831, 20.3271592]
59	197895.5886943257	[207.66815966, 74.40634443, 1.98322659]	[4.20808962, 5.23989129, 7.19650251]	[245.598676, 234.41541848, 187.66146369]	[132.51294278, 48.40481503, 6.72780546]	[148.84460148, 125.17686476, 114.25307582]
60	202514.87367566474	[82.85552207, 136.73953017, 178.09839784]	[1.29970195, 2.0778829, 3.23836924]	[188.54959798, 205.1199929, 228.78149733]	[249.54048467, 249.71108696, 249.72921016]	[59.49458022, 72.86396681, 87.79404411]
61	35823794674.32961	[14.66269765, 20.68019983, 27.6414381]	[251.49034297, 251.60147456, 251.67611682]	[86.42839687, 143.63985996, 187.89385535]	[1.15576618e-11, 1.46483337e-11, 2.07622114e-11]	[94.64187073, 103.94940015, 113.66530672]
