32	218914.914214	[  0.46632125 131.58630333 139.10531299] 0.043866666666666665	[1.32716306 1.97918076 3.04401367] 0.5927111111111111	[199.23707641 142.57687753 185.17452592] 0.32654444444444447	[151.80606141  47.26064529 131.6180244 ] 0.01633333333333333	[85.5269433  68.42531676 87.96196398] 0.020544444444444445
33	218074.652981	[3.65901897 4.08087102 5.88702454] 0.6067111111111111	[194.6926323  137.98824614 180.53794628] 0.30974444444444443	[ 11.77930129 126.83755935 133.97997297] 0.05151111111111111	[143.8208495   49.82589466 138.6564736 ] 0.021611111111111112	[218.69360242 219.31181788 220.37062298] 0.010422222222222222
34	218196.984085	[201.17764615 201.69916471 201.96451598] 0.10807777777777777	[1.88724433 2.87352276 4.40737675] 0.5339888888888888	[156.59612497 126.82255707 177.13869956] 0.2978222222222222	[  0.81605421 137.80678306 139.42666734] 0.023911111111111112	[71.79710748 67.2136118  86.66869934] 0.0362
35	190400.612104	[0.00452688 0.00207339 0.00128182] 0.37474444444444444	[248.90582854 218.27211978 217.289536  ] 0.38027777777777777	[89.24647955 77.13168921 63.01612456] 0.02651111111111111	[212.26078756 185.58838863 185.32173971] 0.11773333333333333	[14.69808242 20.19739708 26.80963318] 0.10073333333333333
36	199015.75129	[1.48939216 2.19155195 3.33330219] 0.5953	[247.01098857 198.80263588 189.94590049] 0.2996333333333333	[231.02631644 147.98612313 156.97572224] 0.0446	[209.17623877 168.63435069 162.00042334] 0.046266666666666664	[99.76274949 80.5460487  82.71883732] 0.0142
37	191175.505958	[2.36291411e+02 1.28620792e+02 1.92811533e-01] 0.14052222222222222	[2.3149217  2.81703396 3.94019406] 0.6058777777777777	[230.89526591 127.00307184  71.19035093] 0.1743111111111111	[114.80820166  66.23407902  47.68519213] 0.06485555555555556	[241.60100627 220.36128954 180.01069767] 0.014433333333333333
38	197808.79415	[2.59126581 3.7416083  5.31052145] 0.4230111111111111	[254.73740682 247.72870839 175.80196925] 0.40915555555555555	[227.58222291 123.17968444   6.13027749] 0.026055555555555554	[98.62685581 95.93596349 74.13215314] 0.025222222222222222	[217.13831055 210.43769871 149.85731668] 0.11655555555555555
39	208200.689404	[3.61172801 5.49020019 8.37497024] 0.5185555555555555	[241.33663383 194.89176691 215.39009368] 0.38766666666666666	[ 45.19662168 179.38578111 167.67901366] 0.043055555555555555	[250.71525949 251.62023075 251.61062104] 0.026977777777777778	[112.79152947  88.2889684   92.34677813] 0.023744444444444443
40	349718.22694337583	[1.86488705 2.81992739 4.30319654] 0.6561333333333333	[241.42746875 196.39532218 216.91870383] 0.1978111111111111	[251.97666552 251.97133765 252.04360235] 0.11995555555555555	[ 47.57658167 179.12612932 167.60444436] 0.010055555555555555	[104.00440552  91.19840555  98.57571443] 0.016044444444444445
41	330576.92160793336	[152.69226549 142.21411975 187.34674628] 0.09105555555555556	[5.59431962e-11 3.43082401e-02 3.43082401e-02] 0.7835	[  0.36119012 168.8087973  222.16026174] 0.0551	[ 41.1244079   78.24987741 103.53525392] 0.015566666666666666	[14.67812519 20.91589295 28.26567358] 0.05477777777777778
42	2562634695702.3784	[5.94288665e-11 5.39987999e-11 3.81041517e-11] 0.6940888888888889	[158.88855046 148.32655668 194.0875836 ] 0.1608777777777778	[  0.33352767 167.33910556 220.15044057] 0.042333333333333334	[14.26231355 20.55491864 27.65169827] 0.08751111111111111	[ 54.92647237  80.88207269 105.94335346] 0.015188888888888889
43	299107.4555415896	[1.05837451e-01 1.63675332e+02 5.91529460e+01] 0.21933333333333332	[14.63710403 21.44736995 27.6177497 ] 0.09392222222222223	[115.94914435 120.57727397 180.57021101] 0.15523333333333333	[0. 0. 0.] 0.5180111111111111	[ 8.96362287 85.55647801 41.85713453] 0.0135
44	383473.8110704334	[172.52499737  97.86779869 104.59213525] 0.13664444444444446	[3.04011005 3.82947497 5.38925459] 0.6150111111111111	[ 84.68376237 139.96215581 182.91891911] 0.1434777777777778	[230.98909887 125.87063898   0.47126476] 0.08873333333333333	[218.54040056 206.22082154 220.13791378] 0.016133333333333333
45	364564.3220581828	[3.41740402 3.43725342 4.80363799] 0.5668	[227.54270871  82.68385719  91.4784856 ] 0.2798888888888889	[ 83.19065232 138.95727224 181.7536113 ] 0.09494444444444444	[248.69562198 213.64586068 219.66127599] 0.03874444444444444	[207.84932925 138.94789317  87.58303531] 0.01962222222222222
46	355171.37643868814	[1.88801537 2.60794855 3.91565926] 0.6871444444444444	[224.32227337 126.33528173  68.14127754] 0.21258888888888888	[210.91992361 226.55080458 235.36397861] 0.026433333333333333	[200.84044687   2.79752292  58.97018438] 0.05522222222222222	[98.29712359 63.96248258 50.78593718] 0.01861111111111111
47	304286.4153558866	[215.02542825 118.61677506  66.46555617] 0.22443333333333335	[4.62117038 4.27593138 5.68042222] 0.5740222222222222	[207.25382078   1.40929158  61.59455198] 0.16042222222222222	[239.7021284  240.11286036 240.28331107] 0.009122222222222223	[241.4563329  169.16822457  59.06608591] 0.032
48	348735.8564226056	[3.55320186 3.90976027 6.00454406] 0.5805	[101.04645706  45.78488666 136.31768942] 0.26655555555555555	[216.58245729 160.26904809 116.05438376] 0.07223333333333333	[222.67753993   5.44185697  61.38002273] 0.05093333333333333	[208.66317887 208.02289693 203.60814004] 0.029777777777777778
49	355295.3321542038	[201.50928798 162.39326791 199.58538091] 0.20306666666666667	[0.79369048 1.21090029 1.8676419 ] 0.7163888888888889	[137.19316587 119.92187623 134.3158339 ] 0.02727777777777778	[199.21064525 190.80582257 189.76711585] 0.031655555555555555	[63.36924397 59.01827131 71.52047623] 0.021611111111111112
50	369655.2972127243	[2.27663405 3.0329537  4.118114  ] 0.6008111111111111	[127.59427823  86.10546294  17.73038986] 0.1836	[143.87153323 147.95607498 121.56140596] 0.11085555555555555	[185.8723639  191.15744357 156.87792486] 0.0974	[220.51078629 105.12460284 123.22513781] 0.007333333333333333
51	367027.46646667965	[104.14427652  68.33136615   5.80717689] 0.09297777777777778	[3.39337112 4.12682895 5.18216753] 0.5526333333333333	[165.6203373  169.75451763 140.45164071] 0.07702222222222223	[133.88307787  90.91118212  20.94451848] 0.2598111111111111	[229.61369055 108.40077206 126.74173125] 0.017555555555555557
52	328213.2439683471	[2.99402559 4.21036068 6.07559056] 0.6986888888888889	[253.55268735 241.48705064 195.01655906] 0.2084777777777778	[205.46922478 101.47064162  13.77464648] 0.05341111111111111	[245.04806433 187.11139606   0.51140833] 0.012011111111111111	[154.40153131 116.59097094 107.71618634] 0.027411111111111112
53	367990.912502034	[0.90499877 1.31047316 1.80721662] 0.7580888888888889	[239.54613432 230.56985115 141.7496522 ] 0.1524111111111111	[80.63354324 82.33098226 58.00902005] 0.021966666666666666	[199.87472211 188.37779685 121.95129803] 0.06642222222222222	[201.95278714  52.24894179  79.79568942] 0.0011111111111111111
54	295642.5024934018	[2.34812294 3.43888693 4.92605402] 0.5726777777777777	[2.45324726e+02 1.87223102e+02 1.34651159e-01] 0.2820111111111111	[250.45385912 236.73940453 169.15964045] 0.10462222222222223	[113.92979682  96.43515838  41.75332715] 0.014655555555555555	[251.9025336  251.99035678 252.07341524] 0.026033333333333332
55	333988.7673816865	[102.84713833 147.76718248 200.36188543] 0.27294444444444443	[1.40550568 2.14135647 3.24753467] 0.6486111111111111	[235.0689216  227.83282392 161.72601667] 0.04095555555555556	[224.65779318 224.34237883 225.49034574] 0.011477777777777778	[67.74811176 77.2646668  94.10817382] 0.02601111111111111
